Time,Total population (Both sexes)?person?,Total population (0-14)?person?,Total population (15-64)?person?,Total population (65 and over)?person?,Live births?person?,Deaths?person?,Employment rate (Both sexes)?%?,Unemployment rate (Both sexes)?%?
Dec.2006,127935000,17410000,83617000,26756000,92234,100920,57.6,3.7
Jan.2007,127925000,17402000,83557000,26805000,91885,104985,56.9,4
Feb.2007,127938000,17390000,83435000,26940000,81794,91426,57.1,4.1
Mar.2007,127908000,17378000,83312000,27033000,89701,101911,57.5,4.2
Apr.2007,127942000,17375000,83252000,27119000,87369,92130,58.4,4
May.2007,127925000,17358000,83184000,27176000,91894,90112,58.9,3.8
Jun.2007,127971000,17350000,83183000,27221000,88833,82231,58.8,3.6
Jul.2007,128001000,17342000,83163000,27267000,94050,84523,58.5,3.5
Aug.2007,128024000,17331000,83123000,27331000,94487,88049,58.4,3.7
Sep.2007,127997000,17303000,83047000,27396000,92946,82998,58.1,4
Oct.2007,128033000,17293000,83015000,27464000,96066,91459,58.1,4
Nov.2007,128047000,17284000,82968000,27523000,89689,94706,58.2,3.7
Dec.2007,128050000,17278000,82914000,27576000,91104,103804,57.9,3.5
Jan.2008,128026000,17272000,82855000,27608000,91675,110384,57.2,3.9
Feb.2008,128020000,17260000,82744000,27712000,85021,102413,57,4.1
Mar.2008,127992000,17253000,82637000,27787000,89185,102778,57.3,4.1
Apr.2008,128013000,17249000,82568000,27871000,88047,94055,58.2,4.1
May.2008,127999000,17235000,82499000,27927000,91523,91597,58.6,4
Jun.2008,128032000,17225000,82496000,27963000,87541,84258,58.4,3.9
Jul.2008,128063000,17218000,82483000,28003000,94982,87663,58,3.8
Aug.2008,128075000,17210000,82432000,28063000,93720,88063,58,4.1
Sep.2008,128043000,17180000,82346000,28137000,95118,85018,57.8,4.1
Oct.2008,128084000,17176000,82300000,28216000,94630,92765,57.8,3.8
Nov.2008,128098000,17172000,82235000,28289000,87388,97922,57.8,3.9
Dec.2008,128099000,17162000,82174000,28350000,92326,105491,57.3,4.1
Jan.2009,128069000,17160000,82097000,28390000,91320,114307,57,4.2
Feb.2009,128048000,17147000,81966000,28501000,80924,94331,56.7,4.6
Mar.2009,128013000,17131000,81838000,28598000,87865,100985,56.5,5.1
Apr.2009,128022000,17123000,81755000,28687000,87207,93694,57.2,5.2
May.2009,127996000,17103000,81671000,28755000,87242,92714,57.4,5.2
Jun.2009,128026000,17082000,81662000,28803000,87313,84824,57,5.2
Jul.2009,128047000,17074000,81639000,28845000,93968,86861,56.7,5.4
Aug.2009,128040000,17059000,81586000,28895000,91793,88685,57,5.4
